district,net_republican_change,net_democrat_change,net_advantage,favors
1,205.51638880150855,-19.27008493236872,224.78647373387727,Republican
2,0.0,0.0,0.0,Neutral
3,-332.6028970296861,82.97540089755535,-415.57829792724147,Democrat
4,1217.3877591780583,-2091.2925725279083,3308.6803317059666,Republican
5,254.23791907609305,-29.062205646519946,283.300124722613,Republican
6,426.3919540545248,388.9001261393041,37.491827915220654,Republican
7,-1629.031184527934,610.8535486936505,-2239.8847332215846,Democrat
8,-399.49030889396,-94.6458165922022,-304.8444923017578,Democrat
9,2259.173601772022,-3022.4403700065823,5281.6139717786045,Republican
11,-2465.0825647966176,1943.566063032386,-4408.648627829003,Democrat
12,69.06229358149722,96.4041509479298,-27.341857366432592,Democrat
13,897.6134121337382,-1083.81012878113,1981.4235409148682,Republican
14,104.65068975510805,-397.96784807915174,502.61853783425977,Republican
15,162.5938293362169,-12.855422862587377,175.4492521988043,Republican
16,260.2203789843861,-136.8572298590086,397.0776088433947,Republican
17,-555.6999833146328,658.6452926080951,-1214.345275922728,Democrat
18,1162.1209315214765,-757.8065555651847,1919.9274870866611,Republican
19,623.1428501262799,-881.3348412822688,1504.4776914085487,Republican
21,919.2375534758904,-1820.3645573852937,2739.602110861184,Republican
22,1709.459961183327,-1519.4160613979357,3228.876022581263,Republican
23,-1251.767176689049,671.6180459987222,-1923.3852226877711,Democrat
24,0.0,0.0,0.0,Neutral
25,611.9473684210525,-663.7477313974592,1275.6950998185116,Republican
26,0.0,0.0,0.0,Neutral
27,0.0,0.0,0.0,Neutral
28,0.0,9.094947017729282e-13,-9.094947017729282e-13,Neutral
29,323.88929219600686,-540.7285812629076,864.6178734589145,Republican
30,999.841721044124,-204.31413130521943,1204.1558523493434,Republican
31,-5119.901586239468,6694.442711458736,-11814.344297698204,Democrat
32,-5.07289699172361,-153.19026688391546,148.11736989219185,Republican
33,-1398.4725654462673,2890.0014884573175,-4288.474053903585,Democrat
34,-157.4115778144369,-504.2130301622401,346.8014523478032,Republican
35,1424.8512949293745,-1803.7903595775344,3228.6416545069087,Republican
36,266.1748596821926,178.79156866609856,87.38329101609406,Republican
37,1282.058944393708,-1209.605990534299,2491.664934928007,Republican
38,988.8097135645858,-1762.9755099754766,2751.7852235400624,Republican
39,539.8405084439091,19.46741698189635,520.3730914620128,Republican
40,193.8585725426819,17.082261905805353,176.77631063687656,Republican
41,652.4116111162493,-106.38201411757836,758.7936252338277,Republican
43,579.9059587227239,-244.11556881173385,824.0215275344577,Republican
46,-39.18143136160711,8.223946707589285,-47.405378069196395,Democrat
49,-120.65108816964285,48.49993024553571,-169.15101841517856,Democrat
51,-115.1669921875,-30.039550781250007,-85.12744140625,Democrat
53,-77.34948372513281,-307.2803941352513,229.93091041011849,Republican
54,-52.17319650988156,-58.31112793219836,6.137931422316797,Neutral
55,-145.12142939381738,-66.7531805228864,-78.36824887093098,Democrat
56,304.3127423152173,-381.52366978913346,685.8364121043508,Republican
57,0.0,0.0,0.0,Neutral
58,-1283.3027403375927,-49.7663820805426,-1233.53635825705,Democrat
59,-235.52695361470887,343.75344755536986,-579.2804011700787,Democrat
60,672.5680556607767,-121.82752625594684,794.3955819167236,Republican
61,226.8907957559204,-376.8057334367931,603.6965291927136,Republican
